CountryCode,Reference area,Measure,Water type,Unit of measure,Year,Value,Observation status,Unit multiplier
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2008,5617.483,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2007,5651.58,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2006,5874.363,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2005,5742.317,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2004,5727.734,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2003,5929.474,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2002,6005.806,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2001,6274.349,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,2000,6840.38,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,1999,6505.9,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,1998,6795.4,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,1997,6928.8,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,1996,6765.4,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,1995,7532.0,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Surface water,Cubic metres,1994,6340.0,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2020,633.592,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2019,611.32,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2018,627.982,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2017,611.834,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2016,617.972,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2015,622.524,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2014,622.415,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2013,630.107,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2012,627.125,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2011,629.925,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2010,615.591,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2009,621.218,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2008,621.803,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2007,625.756,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2006,632.382,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2005,619.964,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2004,646.609,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2003,667.55,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2002,652.007,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2001,665.308,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,2000,664.695,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,1999,641.0,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,1998,622.5,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Ground water,Cubic metres,1997,645.8,Normal value,Millions
